state,cardholder,balance,numTrans,numIntlTrans,creditLine,fraudRisk
6,1,0,45,2,4,0
29,1,0,23,0,4,0
17,1,0,25,0,5,0
36,1,8663,7,5,11,0
24,1,8000,36,0,7,0
5,1,4847,22,0,64,0
22,1,10388,26,0,34,1
25,1,1719,14,0,3,0
44,1,3546,23,0,5,0
49,1,0,8,1,31,0
23,1,5036,100,9,11,0
32,1,6000,99,6,5,0
39,1,4008,18,0,13,0
5,1,0,56,0,7,0
35,1,7365,12,0,8,0
43,1,0,100,13,3,0
7,1,0,49,0,3,0
8,1,2006,3,0,6,0
36,1,4000,9,0,3,0
32,1,1954,13,0,2,0
21,1,5000,8,0,4,0
39,1,5000,16,0,4,0
11,1,3819,20,0,32,0
5,1,6000,3,0,5,0
6,1,2853,5,4,5,0
24,1,0,57,39,6,0
43,1,1519,28,7,9,0
23,1,675,9,0,8,0
35,1,0,25,1,9,0
46,1,0,91,0,15,0
9,1,7000,11,7,6,0
28,1,7365,43,0,9,0
32,1,5000,7,5,4,0
5,1,5000,11,10,4,0
32,1,5000,39,2,4,0
35,1,0,60,0,7,0
46,1,4000,71,2,3,0
44,1,4000,40,8,3,0
29,1,5000,9,0,4,0
13,1,5549,16,0,8,0
38,1,3130,29,8,9,0
16,1,0,86,0,12,0
5,1,4000,28,38,3,0
44,1,10932,26,0,12,0
35,1,0,10,1,7,0
25,1,6000,15,2,5,0
44,1,6000,12,20,5,0
10,1,7000,12,12,6,0
15,2,2000,63,0,1,0
44,1,10000,17,8,9,1
44,2,0,30,6,5,0
44,1,0,4,60,10,0
20,1,0,10,7,22,0
44,1,4000,12,0,3,0
5,1,5000,47,0,4,0
44,1,5431,33,2,5,0
23,1,0,100,8,16,0
50,1,3447,8,0,14,0
33,1,11000,27,0,10,0
44,1,4000,67,0,3,0
39,1,3000,3,0,2,0
14,1,6000,13,0,5,0
4,1,1422,10,1,2,0
7,1,25,9,4,7,0
13,1,123,17,1,2,0
24,1,8992,37,0,12,0
35,1,5000,89,0,4,0
5,1,3610,56,12,18,0
10,1,0,25,0,5,0
10,1,0,6,0,23,0
21,1,3856,37,0,7,0
4,1,34,31,29,12,0
11,1,5000,8,0,4,0
10,1,0,18,0,6,0
49,1,0,100,0,39,0
21,1,7000,17,6,6,0
10,1,5000,11,6,4,0
35,1,360,16,0,10,0
35,1,7598,28,60,7,0
45,1,1813,54,0,3,0
6,1,7000,22,0,6,0
5,1,9000,10,2,8,0
6,1,6000,9,0,5,0
10,1,4000,11,0,3,0
35,1,6000,27,2,5,0
10,1,0,9,0,56,0
32,1,5650,9,0,5,0
49,1,5000,6,0,4,0
34,1,4000,99,0,3,0
35,1,10704,32,0,21,0
4,1,2770,17,0,4,0
44,1,4000,18,0,3,0
19,1,0,5,0,13,0
23,1,6000,57,0,5,0
5,2,0,3,0,4,0
18,1,0,28,0,4,0
29,1,0,24,3,5,0
51,1,974,70,0,4,0
36,1,2000,24,0,1,0
36,1,0,10,0,6,0
16,1,0,47,0,12,0
48,1,3579,27,8,7,0
36,1,0,2,0,11,0
5,1,0,36,1,3,0
14,1,0,27,0,9,0
39,1,9000,43,2,8,0
44,1,0,39,0,9,0
11,1,0,17,10,8,0
15,1,5000,7,6,4,0
29,1,9000,43,16,8,0
49,1,4000,20,23,3,0
15,2,0,70,10,21,0
7,1,4000,15,12,3,0
36,1,6000,7,0,5,0
35,1,1112,40,0,8,0
35,1,2000,75,0,1,0
7,1,8000,58,1,7,0
23,1,8561,17,0,18,0
44,1,8000,16,0,7,0
32,1,7000,13,17,6,0
32,1,2497,100,6,5,0
37,1,0,37,16,21,0
5,1,5000,22,3,4,0
35,1,9000,13,0,8,0
41,1,1462,45,0,8,0
17,1,13788,10,3,15,0
35,1,2484,7,0,5,0
36,2,3000,15,0,2,0
38,1,0,26,0,5,0
19,1,5000,24,0,4,0
5,1,927,53,0,12,0
40,1,9501,42,0,10,0
3,1,5000,22,4,4,0
10,1,0,100,8,17,1
14,1,1196,21,0,6,0
21,1,0,8,0,3,0
43,1,6000,7,0,5,0
46,1,2049,86,0,8,0
10,1,0,25,0,2,0
49,1,5000,11,0,4,0
16,1,8396,14,24,8,0
10,1,7240,4,2,9,0
3,1,1389,59,4,4,0
11,1,0,24,0,5,0
44,1,2629,4,5,3,0
41,1,8000,18,20,7,0
24,1,8195,31,32,20,0
20,1,6577,17,5,13,0
23,1,0,24,0,7,0
5,1,6000,25,0,5,0
5,1,4000,10,0,3,0
10,1,313,5,0,35,0
32,1,6032,43,0,6,0
37,1,4000,9,2,3,0
5,1,5000,27,0,4,0
5,1,6000,22,1,5,0
19,1,4236,25,0,9,0
18,1,3979,3,0,4,0
35,1,0,21,0,3,0
28,1,0,12,0,4,0
29,1,0,22,22,18,0
18,1,11967,11,0,11,0
6,1,7000,14,0,6,0
23,1,22380,6,0,29,1
10,1,20738,6,0,20,1
43,1,0,4,0,2,0
35,1,3000,24,0,2,0
35,1,2791,8,0,4,0
43,1,303,23,0,8,0
21,1,0,14,0,5,0
38,1,3045,18,3,4,0
15,1,4000,16,0,3,0
44,1,7000,10,0,6,0
7,1,0,3,12,37,0
24,1,0,6,14,24,0
23,1,3000,87,15,2,0
15,1,4624,45,5,4,0
36,1,4325,1,0,5,0
23,1,4000,73,7,3,0
10,1,464,31,0,4,0
4,1,0,3,0,21,0
44,1,5000,31,0,4,0
10,1,4065,24,0,10,0
6,1,5000,11,0,4,0
37,1,4618,24,0,12,0
51,1,6000,26,0,5,0
49,1,7000,4,34,6,0
32,1,11883,18,0,46,0
5,1,1481,33,3,8,0
47,1,5000,56,0,4,0
2,1,8000,14,2,7,0
39,1,12916,1,9,18,0
33,1,326,30,0,7,0
5,1,0,25,0,2,0
5,1,4000,56,0,3,0
10,1,6000,87,0,5,0
24,2,11228,17,0,34,0
5,1,1785,31,0,15,0
49,1,14862,12,0,25,0
44,1,5900,100,0,5,0
25,1,768,11,0,9,0
49,1,0,51,0,18,0
44,2,8000,51,0,7,0
11,1,7013,48,0,16,0
25,1,3163,55,17,4,0
23,1,6000,26,0,5,0
15,1,4915,8,3,13,0
12,1,1067,5,0,7,0
13,1,0,19,0,3,0
47,1,6141,26,1,9,0
5,1,0,4,9,12,0
39,1,2977,66,0,2,0
39,1,4000,7,3,3,0
21,1,3270,80,0,14,0
35,2,3101,30,34,3,0
38,1,5000,9,60,4,0
19,1,6000,5,0,5,0
44,1,4000,43,6,3,0
23,1,0,7,13,23,0
6,1,13028,2,0,14,0
38,1,0,34,12,1,0
10,1,0,23,0,19,0
5,1,3000,6,3,2,0
10,1,2000,100,28,1,0
44,2,0,26,6,7,0
11,1,0,15,5,22,0
5,1,0,8,18,8,0
14,1,5000,32,0,4,0
6,2,2656,17,0,8,0
35,1,3270,27,0,7,0
16,1,7500,2,0,27,0
5,1,2768,8,5,14,0
13,1,1076,7,0,7,0
5,1,0,13,5,3,0
32,1,0,16,21,2,0
10,1,1213,7,3,5,0
5,1,7000,2,0,6,0
5,2,0,26,2,5,0
41,1,462,90,13,12,0
44,2,1459,13,6,3,0
39,1,803,2,0,13,0
42,1,2560,91,2,19,1
15,1,4000,23,0,3,0
15,1,0,4,0,4,0
13,1,3000,21,5,2,0
4,1,1100,13,4,5,0
48,1,7288,6,3,10,0
18,1,7000,7,0,6,0
50,1,973,25,0,9,0
20,1,4000,16,6,3,0
12,1,11000,64,4,10,1
44,1,0,69,3,3,0
24,1,824,13,0,21,0
15,1,3153,78,19,7,0
36,1,10833,11,0,10,0
36,1,3992,63,0,16,0
5,1,5670,25,21,34,0
10,1,4000,41,2,3,0
5,1,0,24,5,5,0
10,1,4000,1,0,3,0
5,1,0,75,0,4,0
22,1,8791,39,0,12,0
5,1,7961,14,0,7,0
7,1,0,14,0,6,0
48,1,0,25,0,3,0
37,1,3514,32,0,5,0
39,1,1878,63,15,10,0
6,1,0,28,0,11,0
34,1,6000,24,1,5,0
5,1,0,21,0,35,0
24,1,0,7,0,9,0
44,1,3000,4,4,2,0
23,1,4813,7,0,7,0
36,1,2621,90,0,13,0
38,1,8000,100,0,7,0
35,1,1577,20,1,4,0
35,1,2550,58,0,6,0
46,1,5000,38,9,4,0
12,1,4669,69,0,5,0
15,1,8106,37,0,17,0
18,1,9377,100,0,9,0
20,1,2000,42,12,1,0
5,2,7000,51,0,6,0
32,1,0,17,0,24,0
10,1,0,10,24,4,0
4,1,5000,3,2,4,0
25,1,0,7,4,5,0
7,1,10031,5,0,19,0
44,1,9000,6,0,38,0
35,1,1461,1,0,20,0
5,1,10000,5,1,9,0
46,1,4000,28,6,3,0
5,1,0,5,0,3,0
44,1,50,48,0,12,0
5,1,8352,100,0,23,1
33,1,3000,4,0,2,0
5,2,6275,5,0,10,0
11,1,0,10,0,3,0
23,1,9194,100,0,11,1
29,1,6483,85,3,9,1
35,1,5000,17,0,4,0
5,1,2726,10,2,16,0
29,2,3000,22,5,2,0
36,2,1372,75,0,3,0
36,1,11000,5,1,10,0
13,1,0,68,0,25,0
11,1,0,49,5,4,0
7,1,342,8,1,9,0
10,1,3000,38,0,2,0
28,1,4000,5,0,3,0
37,1,0,21,0,3,0
10,1,3121,10,1,3,0
23,1,8000,28,2,7,0
2,1,0,49,0,12,0
11,1,9000,11,4,8,1
15,1,3000,12,0,2,0
23,1,3015,22,0,11,0
36,1,0,14,0,2,0
44,1,3851,6,0,20,0
19,1,0,1,6,7,0
48,1,2171,33,2,8,0
19,1,9609,7,9,11,0
2,1,0,9,0,7,0
32,1,4000,8,0,3,0
48,1,5000,25,1,4,0
10,1,807,91,0,6,0
10,1,5000,24,3,4,0
5,1,4326,38,13,11,0
35,1,0,62,0,9,0
5,1,4000,46,14,3,0
11,1,0,24,0,14,0
33,1,0,24,14,2,0
21,1,3000,5,0,2,0
15,1,5000,29,0,4,0
5,1,4075,20,0,4,0
39,1,0,5,4,6,0
7,1,8000,25,15,7,0
10,1,4480,7,0,9,0
35,1,5000,18,3,4,0
10,1,6099,12,23,9,0
38,1,4000,3,0,3,0
11,1,0,1,5,6,0
5,1,406,4,5,6,0
10,1,7000,19,0,6,0
23,1,0,100,1,7,0
25,1,0,10,1,11,0
21,1,6273,21,0,21,1
5,1,0,24,0,3,0
44,1,2856,100,7,8,0
10,1,0,62,19,49,0
39,1,9000,48,2,8,0
23,1,4135,9,1,4,0
38,1,0,6,6,15,0
25,1,0,8,0,2,0
34,1,5000,19,0,4,0
10,1,6783,9,0,9,0
5,1,0,100,11,7,1
15,1,4299,33,0,4,0
32,1,7000,22,0,6,0
10,1,0,6,5,6,0
44,1,5000,24,0,4,0
6,1,6090,23,6,6,0
21,1,8922,61,0,13,0
44,1,1801,89,0,5,0
5,1,8000,27,0,7,0
36,1,3804,26,0,4,0
16,1,5048,44,12,14,0
48,1,9000,73,7,8,0
20,1,4733,4,0,11,0
36,1,10655,22,26,21,0
25,1,2626,19,0,4,0
10,1,4947,10,16,13,0
45,1,7000,36,0,6,0
30,1,0,1,5,20,0
11,2,3000,26,0,2,0
35,1,0,5,0,22,0
35,1,2868,8,3,11,0
25,1,3000,14,0,2,0
29,1,3000,100,0,2,0
44,1,5000,88,0,4,0
35,1,0,38,0,17,0
15,1,6080,24,0,6,0
44,1,1209,100,3,2,0
20,1,8000,87,7,7,1
36,1,0,4,1,12,0
15,1,0,100,0,11,0
17,1,0,4,14,4,0
38,1,10895,23,0,45,0
7,1,1376,7,0,11,0
32,1,3000,18,0,2,0
35,1,3000,22,12,2,0
16,1,4815,26,1,15,0
21,1,0,49,0,3,0
46,1,4000,3,2,3,0
5,1,2344,23,5,2,0
41,1,3000,46,2,2,0
29,1,2948,9,2,7,0
7,1,0,8,0,7,0
5,1,6000,9,26,5,0
12,1,841,25,0,3,0
11,1,6945,25,8,23,0
5,1,0,10,0,3,0
38,1,7031,59,0,19,0
21,1,5386,6,0,36,0
5,1,0,10,18,2,0
35,1,2489,39,6,3,0
33,1,1691,100,0,7,0
33,1,0,6,0,2,0
48,1,2593,11,0,6,0
20,1,10732,83,9,10,0
13,1,0,7,3,3,0
16,1,12865,17,0,12,0
21,1,0,36,2,6,0
19,1,5000,15,0,4,0
5,1,1651,7,5,3,0
15,1,4000,8,9,3,0
29,1,6000,18,6,5,0
44,1,7541,11,0,8,0
13,1,0,12,0,5,0
39,1,10777,100,6,15,0
44,1,6000,11,13,5,0
23,1,1329,6,1,2,0
46,1,0,17,5,10,0
36,1,4000,8,0,3,0
24,1,0,36,1,3,0
34,1,0,22,8,6,0
20,1,0,29,18,13,0
5,1,573,100,0,5,0
35,2,0,6,0,14,0
24,1,3981,42,0,9,0
15,1,7000,26,0,6,0
25,1,6393,6,4,21,0
1,1,11000,38,0,10,0
5,1,8967,3,5,8,0
25,1,4000,5,0,3,0
36,1,0,4,2,2,0
5,1,0,7,0,4,0
48,1,4000,38,0,3,0
46,1,0,58,0,15,0
41,1,11739,2,0,12,0
5,1,0,11,8,3,0
27,1,9000,54,3,8,1
2,1,11000,39,0,10,0
20,1,8579,39,3,8,0
32,1,11000,63,0,10,1
5,1,18000,28,0,17,1
10,1,3055,9,0,5,0
5,1,5477,27,6,12,0
36,1,1079,8,5,10,0
32,1,5738,56,0,15,0
7,1,5000,23,0,4,0
18,1,17000,21,0,16,1
11,1,0,9,9,16,0
23,1,0,16,2,33,0
8,1,0,32,0,2,0
48,1,2000,15,0,1,0
15,1,2818,77,0,7,0
29,1,0,100,2,36,0
35,1,3000,6,27,2,0
2,1,2118,15,0,4,0
11,1,4000,9,6,3,0
5,1,6000,30,0,5,0
10,1,7000,5,0,6,0
15,1,0,21,3,4,0
16,1,786,100,0,6,0
20,1,525,41,0,4,0
5,1,8770,52,49,19,0
6,1,0,43,2,4,0
19,1,3000,22,0,2,0
5,1,0,43,6,3,0
15,1,0,22,4,13,0
15,1,11000,24,0,10,0
35,1,0,27,17,8,0
3,1,0,8,0,10,0
2,1,9000,25,4,8,0
5,1,5000,4,0,4,0
48,1,4000,10,22,3,0
49,1,8000,13,1,7,0
45,1,3000,5,0,2,0
16,1,4980,27,14,9,0
39,1,1599,19,0,3,0
32,1,10000,53,0,9,0
29,1,1238,8,0,5,0
5,1,0,52,10,3,0
36,1,0,25,14,4,0
48,1,4000,14,0,3,0
18,2,0,100,0,6,0
11,1,0,10,0,37,0
39,1,4000,11,30,3,0
10,2,0,7,0,13,0
10,1,5853,21,0,6,0
20,1,0,10,0,2,0
23,1,4000,17,3,3,0
15,1,3000,5,1,2,0
20,1,0,65,0,10,0
46,1,0,40,0,3,0
3,1,0,18,1,10,0
36,1,8000,32,0,7,0
23,1,0,63,0,5,0
5,1,4302,4,0,6,0
18,1,4000,30,0,3,0
44,1,949,14,0,7,0
44,1,3000,46,0,2,0
5,1,6000,11,12,5,0
44,1,0,3,7,16,0
17,1,3000,46,4,2,0
17,1,3039,12,4,4,0
2,1,2301,25,0,8,0
35,1,0,25,5,10,0
44,1,10,11,0,5,0
50,1,6214,5,5,13,0
10,1,6713,3,0,15,0
36,1,1881,8,2,2,0
32,1,11079,6,0,12,0
15,1,7090,7,0,7,0
25,1,6153,5,0,13,0
45,1,4000,25,0,3,0
45,1,0,9,0,7,0
19,1,0,28,0,7,0
29,1,940,34,0,5,0
21,1,0,100,13,5,0
25,1,0,10,0,2,0
37,1,4000,2,0,3,0
18,1,6000,24,0,5,0
44,1,0,33,18,4,0
10,1,6284,48,0,37,1
2,1,3000,24,4,2,0
25,1,0,2,1,3,0
16,2,9498,27,0,13,0
5,2,0,4,0,11,0
44,1,3000,22,0,2,0
29,1,10663,23,2,12,0
44,1,7040,14,15,8,0
10,1,2747,46,0,7,0
23,1,4000,36,0,3,0
3,1,4251,52,35,4,0
25,1,1335,9,0,15,0
17,1,2711,7,22,2,0
44,1,13721,25,15,20,1
22,1,4000,5,6,3,0
39,1,9000,100,5,8,1
35,1,0,8,0,16,0
15,1,4000,25,0,3,0
5,1,4834,91,0,8,1
11,1,1245,20,0,3,0
39,1,1183,19,0,5,0
10,1,2207,22,0,3,0
29,1,5000,13,12,4,0
44,1,3810,100,0,5,0
5,2,6578,74,0,19,1
10,1,5000,2,6,4,0
46,1,8000,5,1,7,0
11,1,3290,7,3,4,0
17,1,9342,8,0,41,0
10,1,6000,39,25,5,0
25,1,13000,100,2,12,0
15,1,2758,62,0,23,0
5,1,4119,31,0,4,0
44,1,10000,3,0,9,0
11,1,4000,19,0,3,0
15,1,307,4,0,4,0
32,1,7000,78,1,6,0
35,1,4385,1,12,5,0
22,1,6000,1,0,5,0
19,1,3000,19,0,2,0
36,2,5000,42,0,4,0
5,1,0,8,5,7,0
4,1,3000,100,24,2,0
35,1,4781,11,0,7,0
5,1,4861,21,0,15,0
5,1,7341,21,49,29,0
20,1,8910,8,0,15,0
26,1,7000,14,0,6,0
36,1,0,31,0,4,0
48,1,4000,48,0,3,0
36,1,4259,6,0,33,0
35,1,1047,10,2,2,0
32,1,3000,36,0,2,0
10,1,8197,34,11,8,0
5,1,13392,23,8,24,1
36,1,0,43,0,3,0
22,1,3428,15,0,21,0
46,1,2997,12,0,2,0
15,2,8000,30,0,7,0
4,1,6474,63,0,16,0
22,1,0,9,0,7,0
19,1,0,28,0,6,0
48,1,0,27,0,11,0
35,1,869,26,4,2,0
45,1,3110,18,4,7,0
41,1,7117,100,0,8,0
41,1,0,21,0,4,0
4,1,3195,4,1,14,0
51,1,3000,26,0,2,0
11,1,4000,22,0,3,0
15,1,7000,81,0,6,1
32,1,5000,14,0,4,0
44,1,10000,67,0,9,1
36,1,1203,43,3,6,0
43,1,0,94,15,18,0
11,1,11995,2,0,14,0
5,1,11842,16,0,15,0
43,1,0,28,8,47,0
24,1,4000,12,5,3,0
15,1,0,14,17,53,0
21,1,663,18,0,2,0
5,1,6000,26,0,5,0
29,1,7350,12,0,11,0
48,1,4000,14,49,3,0
12,1,12000,37,7,11,0
15,1,0,4,1,62,0
5,1,0,13,0,20,0
27,1,7000,8,8,6,0
5,1,10988,6,10,10,0
48,1,3000,20,0,2,0
15,1,2804,12,0,5,0
5,1,11716,30,3,12,0
25,1,7000,10,0,6,0
36,1,7000,12,0,6,0
37,1,6106,23,0,23,0
5,1,0,27,0,4,0
21,1,2649,2,0,2,0
