0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
7.95,65.74,33243.19,3.73,135.46,763.16,1000.0,2850.0,69.0,89.0,138.68,0.0,16110.0,310.0,2.19,0.0,2.19,-0.18,-3.71,3.2,0.22,3.78,-0.01,132.78,0.47,87.65,0.2,0.16,1.84,32.19,99.59,0.4,0.1,0.49,0.26,0.21,214.7,0.19,29780.0,7.89,40.88,6395000.0,90.0,456.63,1506.09,2558.0,1.0,1.0
6.26,65.73,51572.04,0.6,1648.8,9593.48,11500.0,5750.0,69.0,89.0,68.65,0.0,40140.0,704.0,0.0,0.0,0.0,0.0,-2.21,7.09,0.84,3.78,-0.01,132.78,0.58,87.65,0.02,0.02,2.3,4061.15,6058.23,0.11,0.01,0.11,0.03,0.02,901.7,0.02,61900.0,1.21,51.11,55812500.0,180.0,841.03,79.11,22325.0,2.0,0.0
7.84,65.81,31692.84,9.33,45.13,150.0,250.0,1400.0,69.0,89.0,38.8,0.01,1530.0,29.0,1.95,0.0,1.95,-0.23,-3.36,4.79,0.7,3.78,-0.01,132.78,0.46,87.65,0.29,0.19,1.82,16.73,71.2,0.34,0.17,0.5,0.32,0.21,86.1,0.18,3340.0,7.34,40.42,287500.0,88.0,608.43,1449.85,115.0,3.0,1.0
8.07,65.67,37696.21,13.33,144.97,453.21,761.58,6041.52,69.0,89.0,108.27,0.0,10080.0,183.0,2.2,0.0,2.2,-0.33,-3.54,6.78,0.84,3.78,-0.01,132.78,0.48,87.65,0.21,0.16,1.91,33.47,120.22,0.38,0.1,0.48,0.26,0.21,166.5,0.19,18030.0,7.97,42.4,3002500.0,66.0,295.65,1562.53,1201.0,4.0,1.0
7.35,65.66,29038.17,2.58,109.16,512.54,710.63,1320.04,69.0,89.0,14.39,0.0,2340.0,45.0,2.19,0.0,2.19,-0.44,-3.44,2.28,0.02,3.78,-0.01,132.78,0.47,87.65,0.16,0.13,1.86,48.68,289.19,0.26,0.09,0.35,0.19,0.15,232.8,0.17,3350.0,7.03,41.43,780000.0,37.0,440.86,950.27,312.0,5.0,0.0
7.85,65.77,30967.25,4.06,52.22,150.0,200.0,608.28,69.0,89.0,18.26,0.01,720.0,12.0,1.96,0.0,1.96,-0.25,-3.89,3.34,0.57,3.78,-0.01,132.78,0.51,87.65,0.22,0.16,2.01,29.21,55.25,0.38,0.15,0.53,0.25,0.18,86.0,0.15,1570.0,6.92,44.67,135000.0,82.0,544.91,1438.13,54.0,6.0,1.0
7.85,65.79,31258.37,6.44,114.82,164.58,403.11,1060.66,69.0,89.0,46.19,0.01,2070.0,36.0,1.95,0.0,1.95,-0.09,-3.5,2.57,0.1,3.78,-0.01,132.78,0.47,87.65,0.27,0.17,1.87,21.67,207.31,0.35,0.14,0.49,0.3,0.21,79.2,0.15,3660.0,6.24,41.53,290000.0,97.0,580.94,1446.29,116.0,7.0,1.0
6.25,65.67,51985.06,3.02,132.47,165.71,360.56,500.0,69.0,89.0,22.99,0.01,1170.0,18.0,1.95,0.0,1.95,-0.4,-2.01,3.34,-0.07,3.78,-0.01,132.78,0.59,87.65,0.03,0.02,2.32,1678.13,5717.0,0.05,0.02,0.07,0.03,0.02,78.7,0.02,1810.0,0.83,51.67,142500.0,141.0,715.39,28.68,57.0,8.0,0.0
7.36,65.67,28871.82,6.11,124.72,256.77,492.44,1569.24,69.0,89.0,29.44,0.01,2610.0,43.0,2.19,0.0,2.19,-0.59,-3.58,6.3,0.89,3.78,-0.01,132.78,0.44,87.65,0.19,0.14,1.75,49.55,125.35,0.29,0.09,0.38,0.24,0.19,126.3,0.15,3720.0,5.89,38.9,470000.0,22.0,456.23,964.23,188.0,9.0,1.0
7.35,65.58,32053.95,2.58,50.12,182.83,223.61,471.7,69.0,89.0,21.39,0.01,1080.0,17.0,2.2,0.0,2.2,-0.63,-1.39,1.86,-0.51,3.78,-0.01,132.78,0.47,87.65,0.25,0.19,1.85,22.56,64.34,0.24,0.12,0.36,0.25,0.19,86.5,0.19,1850.0,7.9,41.22,160000.0,33.0,274.88,903.02,64.0,10.0,1.0
