0,1,2,3,4,5,6
36,52327,14,0,0,40,0
41,281725,3,0,0,40,0
33,427812,5,0,0,40,0
59,212448,9,0,0,40,0
35,66297,13,0,0,40,0
52,224763,9,0,0,50,0
44,402718,2,0,0,40,0
43,180407,13,0,0,42,0
47,345493,15,99999,0,55,0
29,177955,5,0,0,24,0
25,195994,2,0,0,40,0
27,200641,6,0,0,40,0
45,209912,13,0,0,40,0
49,160187,5,0,0,16,0
47,190072,10,0,0,40,0
36,199217,9,0,0,40,0
36,69251,9,0,0,40,0
29,228075,9,0,0,35,0
58,275859,9,8614,0,52,0
53,290640,9,0,0,50,0
23,84726,12,0,0,45,0
25,209428,10,0,0,25,0
32,400061,15,15024,0,40,0
60,69251,14,0,0,38,1
41,173858,4,0,0,40,1
34,110622,13,0,0,40,0
46,168191,9,0,0,2,0
36,247600,12,0,0,40,0
30,113364,10,0,0,40,0
31,200192,9,0,0,40,0
31,265201,9,0,0,40,0
33,231826,7,0,0,40,0
51,275924,13,99999,0,50,0
22,24896,9,0,0,30,0
33,202822,4,0,0,14,0
32,31740,14,0,0,40,0
37,79586,13,0,0,40,0
29,255817,3,0,0,40,0
43,580591,2,0,0,28,0
33,69251,11,0,0,40,0
38,234962,9,2829,0,30,0
28,155621,10,0,0,50,0
48,160724,13,0,0,40,0
59,118479,13,0,0,40,1
23,183358,9,0,0,40,0
32,185027,12,0,1887,40,0
28,197113,9,0,0,50,0
19,225775,10,0,0,45,0
52,188644,10,0,0,30,0
53,290882,4,0,0,40,0
41,132633,7,0,0,25,0
38,179481,9,0,0,40,0
36,160120,9,0,0,40,0
48,155509,9,0,0,16,0
37,213008,11,0,0,40,0
64,165667,16,7688,0,60,0
48,116601,14,0,0,50,0
30,196342,14,0,0,40,0
28,129460,5,0,0,40,0
24,403107,3,0,0,40,0
19,311974,9,0,0,40,0
22,213902,3,0,0,40,0
50,120781,13,0,0,60,0
28,461929,4,0,0,40,0
72,108038,14,0,0,60,0
33,192644,9,0,0,35,0
26,61603,3,0,0,40,0
31,219318,9,0,0,35,0
52,137658,7,0,0,40,0
42,251239,5,0,0,40,0
29,255476,3,0,0,35,0
45,101452,14,15024,0,60,0
52,55608,2,0,0,40,0
28,183523,9,0,0,50,0
